Order_ID,Order_Date,Order_Time,Branch_ID,Customer_ID,Payment_Method_ID,Dining_Option
1,2024-09-11,07:08:04,1,4,1,Dine-In
2,2024-09-18,04:08:04,2,3,1,Takeaway
3,2024-09-16,10:08:04,1,9,4,Dine-In
4,2024-08-29,19:08:04,3,6,1,Takeaway
5,2024-09-24,13:08:04,1,10,4,Delivery
6,2024-09-04,05:08:04,3,9,2,Takeaway
7,2024-09-11,23:08:04,2,7,4,Delivery
8,2024-09-16,23:08:04,2,5,1,Dine-In
9,2024-09-12,09:08:04,2,3,2,Takeaway
10,2024-09-10,19:08:04,2,3,3,Takeaway
11,2024-09-26,07:08:04,2,3,1,Takeaway
12,2024-09-22,17:08:04,1,10,3,Takeaway
13,2024-09-11,13:08:04,2,8,1,Takeaway
14,2024-09-09,06:08:04,2,8,3,Dine-In
15,2024-09-14,18:08:04,2,5,4,Dine-In
16,2024-09-16,01:08:04,2,5,3,Takeaway
17,2024-09-04,16:08:04,1,8,1,Delivery
18,2024-08-30,07:08:04,1,5,4,Takeaway
19,2024-09-07,18:08:04,3,7,3,Takeaway
20,2024-08-27,16:08:04,2,6,2,Dine-In
